Comments,Sentiment
"ayo lah kalo lu mau bersaing dengan produk lain, ya lu harus kasih yang terbaik juga, sesuaikan sama harga kasih spek nya  di kritik tuh harusnya berbenah, dan perbaiki. bukan klarifikasi, dan malah nyenggol brand lain.",negatif
watdepak....sampai hari ini saya tidak pernah memegang produk oppo....,negatif
womp womp,negatif
susah menerima fakta,negatif
"saya sudah yakin lo dengan hp oppo yang tahan banting kemarin yang viral, bahkan rencana mau ganti pake itu, tapi tiba tiba jadi ragu karena munculnya video ini, apalagi sampe menyebut merek lain seperti ini, saya jadi merasa merk oppo lewat video ini berusaha menjatuhkan lawan,",negatif
jiahahahaha kenak hujat,negatif
dari dulu anti banget sama oppo,negatif
kalau di kasih mau saya,negatif
2 kata lucu. oppo lawak,negatif
"makasih penjelasannya, sekarang saya makin gamau beli oppo",negatif
menjatuhkan gadget lain bukan berarti gadget sendiri menjadi lebih baik   lebih bijak dalam berkonten,negatif
harus tahu malu ya oppo,negatif
performa kentut,negatif
kok logo apel kroaknya ilang ya ?,negatif
"saya sebagai pengguna oppo turut bersedih atas keblunderan anda, meskipun saya tetap memakai oppo terus menerus sampai akhir. dengan sales yang tinggi anda masih menerima kritik, saya akan membeli macam2 oppo seri baru anda. jangan semangat tetap menyerah. terimakasih apple.",negatif
"datang, dislike, komen, mohon maaf vidio ny ga saya tonton, karna udh liat di platform lain ",negatif
apel kegigitnya mana bosqu? hahaha,negatif
hapus aja lah ni video malu²in brand,negatif
"mau ngikutin jejak nokia apa gimana nih? ga belajar dari kasus nokia bubar apa ya? orang kayak gini nih banyakin, biar cepet...  cepet bubar ",negatif
wkakakakkakakaka selesai lu kena goreng satu indo,negatif
bahasa kentut,negatif
org mana si aksen nya ga enak didenger,negatif
cosplay biar keliatan keren itu bang,negatif
somebody getting fired,negatif
blunder ini sih,negatif
sangat lawak,negatif
dipukul sama mi14t pro haha,negatif
"di kritik harusnya di terima, karna david itu netral dan kasih edukasi buat masyarakat",negatif
ngomong nya sambil mabok kecubung,negatif
inti dari konten ini apa yahh?,negatif
"jangan so inggris, gua orang indonesia, di kritik ya perbaiki bree waduh",negatif
wkwk lawak betul,negatif
kini ku sadar....kop sekop sekop,negatif
ini klo mw jd tim trainer produk g lulus nih.  mlkkn prbanding tp tdk secara pin to pin.  tidak konsisten. memberikan benefit tp tidak sesuai dengan konteks awal nya.   mana bahasa inggris lagi. bahsa indo nya lancar loh.,negatif
"kan recruitment nya bukan karena kompetensi,tapi karena &quot;orang kenal&quot;",negatif
nguwawor,negatif
awokwokwok blunder,negatif
2.4k dislikes,negatif
blunder oppo indonesia,negatif
"oppo is one of the bad brands that with high prices has low specifications compared to other competitors, the target of this brand is old people and young people who don&#39;t understand technology",negatif
bro digging his own grave by making this vid lol,negatif
hitungan mundur di mulai,negatif
kamu tinggal di indonesia pakailah bahasa indonesia dengan benar.,negatif
izin dislike,negatif
kocak lu oppo,negatif
berarti bener keputusan saya lebih memilih realm* dr pd brand ini,negatif
this is pure pr disaster,negatif
minimal snapdragon 665 lah,negatif
nyari pembelaan malah dapat pembullyan wwkwkw,negatif
ngakak cik,negatif
antikritik,negatif
login,negatif
numpang dislike,negatif
wkwkwkwk blunder yah cmo oppo tar jga bakal ada juga tuh  warna kuning muncul bikin ginian,negatif
"kok logo apple di laptopnya di hapus , oh iya oppo ga ada buat laptop",negatif
oppo cuman buat bapak bapak ibu ibu  ga paham spek hp,negatif
"kalo oppo si dari dulu harganya tidak masuk akal, selalu skip sama produk oppo",negatif
waduuh jan sampe bangkrut oppo,negatif
"masa iya gegara 1 produk bangkrut, minimal saham turun",negatif
@@stealthsr ya kan engga tau selanjutnya,negatif
aowkwowk,negatif
hp emak2 dan orang gaptek,negatif
stop yapping,negatif
ahh kentutt,negatif
logo apel nya kok ilang,negatif
uda diedit bang  takut ketauan gobe nya e . blunder,negatif
@@proklamatorart6632 baru tahu video bisa diedit walau sudah diupload kirain harus upload ulang,negatif
ngablu,negatif
loh tiba tiba jadi banyak buzzer. ngelawak memang,negatif
lah kiraian ada logo apple,negatif
wkkwkwkwkwkwkkwwkkwkwkwkwkw &quot;tinggi&quot;,negatif
logo apple di laptop nya kok di ilangin min,negatif
awokwkwk logo applenya kok ilang,negatif
oppo ngeluarin bahan gorengan buat netizen,negatif
hahahahah....,negatif
"sepertinya oppo indonesia sedang di hack !, diserang sejenis ransomware  telah &quot;menghilangkan&quot; jerih payah sales2 dan team marketing dilapangan. sia2 juga aksi pargoy mereka di pinggir2 jalan. turut berduka cita ",negatif
2 brand yang anti kritik honda dan oppo,negatif
"ngejek layar datar, while kompetitornya bahkan sampe flagship udah tobat pake layar datar semua",negatif
kok logo apple nya yang di laptop ilang sih wkwk,negatif
cuma bisa mengelus dada dan tertawa sama brand  satu ini,negatif
jangan-jangan ini strategi  sengaja utk memancing atensi,negatif
hahahaha shame on u,negatif
blunder oppo indonesia bisa aja jadi era downfall nya oppo nih taun depan kalau masih anti kritik,negatif
"awal nya fokus performa tinggi, eh pas kalah dicompare sama kompetitor bilang nya fokus ke keseimbangan fitur, gimana sih gak konsisten",negatif
nyari perkoro,negatif
"apple selalu terdepan., ..",negatif
let&#39;s go oppo,negatif
"performa pelan harga 9jt an.  david gadgetin kasih review apa adanya, lohh,, ini cmo oppo nya malah lawak terkesan membodohi gak sih?",negatif
hahahaha he just give the way of suicide,negatif
kocak,negatif
bullshit seperti inilah yang harus di hafalkan oleh promotor di konter untuk menyesatkan calon pembeli.,negatif
komen positif nya bot semua,negatif
oppo mulai panik dan blunder guysss,negatif
video meme terbaru,negatif
"ini video full blunder sih, kocak emang wkwkwk",negatif
kenapa reno 12 nggak pake helio p35 / g25 bang? kan itu prosesor hemat daya &amp; nggak panas,negatif
dislike nya 2.5 k njir.  like cuma 200an,negatif
beuuuh...ga bisa tidur nyenyak beliau,negatif
"buzzernya pada gk kreatif, masak kata²nya template semua",negatif
"n4j15 bahasa dicampur-campur, kalo pake indo ya full indo, atau sekalian pake bahasa baku, cmo ini otaknya harus disekolahkan lagi biar punya adab.",negatif
alasan pertama  kami lebih fokus performa tinggi   alasan kedua kami fokus pada keseimbangan performa dan kekuatan dan efisiensi daya   standar ganda wkwkwkw,negatif
why orang-orang mempermasalah chipsetnya? mediatek itu termasuk bagus loh,negatif
"bagus tapi ni hp g sesuai sama harganya,overpriced",negatif
"mediatek jaman kopid dipake buat hp baru yang rilis di tahun 2024 dengan harga 9 juta, belum kelengkapan yang lain. satu kata badut",negatif
klo ga dipake ya bagus,negatif
bagus buat lawan cipset 2 tahun lalu. cipset tahun ini di s24fe ya ampas.,negatif
"brand lain dikritik itu ditampung &amp; direalisasikan di next gen, ini brand malah anti kritik &amp; idealis, tinggal nunggu waktu aja, jangan sampai kaya nokia",negatif
blunder tech of the year,negatif
cmo hasil nepotism kah?,negatif
blunder wkwkwk,negatif
hiya hiya dia pake macbook,negatif
"buset oppo inovasinya ga main-main, yang terbaru malah ada fitur ai writer  masih jarang ada di merk lain",negatif
wah keren bgt tuh,negatif
"buset oppo inovasinya ga main-main, yang terbaru malah ada fitur ai writer  masih jarang ada di merk lain",negatif
"wkwkwk brand ampas, dikritik malah gak nerima, bisa cuma jelekin brand lain",negatif
lawakan fresh dibulan ini,negatif
"kurang paham tujuan dipublish video ini untuk apa, cuma divideo ini berasa kaya lagi ngomongin dan nasehatin sahabat gw tapi dia ngeyel.",negatif
"ingat ya gaes tonton 40 detik, tinggalkan komen dan jangan subscribe ",negatif
setahun bisa realese new produk buat mengimbangi brand sebelah,negatif
"oppo ini balance, antara harga dan kualitas seimbang, anti jomplang-jomplang club",negatif
"lucu, dibayar brp, aku juga mau ",negatif
apa iya dek,negatif
anti jomplang bapakau,negatif
sepong oppo dibayar brp?,negatif
palalu jomplang,negatif
makin yakin ga beli oppo,negatif
brand anti kritik nih,negatif
owkwowk dienit 3.14 udah ilanh logo apple di edit yah.? owkwkwkwk,negatif
yahh blunder,negatif
"idiot asf , your even yuse apple produck",negatif
gilaa dari dulu sampe sekarang hp favorit tetep oppo. ngeliat oppo reno terbaru jdi ngiler,negatif
benget sia hurung . akun  sama spam komen ampas.,negatif
buzzer,negatif
ngiler mau di emut emang?,negatif
banyak buzzer jir,negatif
demen deh sama desain oppo yang selalu elegan. chipsetnya mediatek menurutku bukan masalah,negatif
buzzer,negatif
mediatek jaman kopid lu pake badut,negatif
"akun baru jan sok keras, buzer buzer",negatif
dibanding kompetitor menurut gw masih menangan oppo di beberapa aspek,negatif
editor nya hebat bisa ngilangin buah,negatif
"brooo, berbicara dengan bahasa campur” gak akan membuat lu keren",negatif
"bener tuh, bersyukur banget oppo ga pake exyson. mediatek mah cakep woy",negatif
udah cair 1200 perak nih,negatif
pakai buzzer malu,negatif
"hp oppo reno emg bukan hp gaming, tapi bagus performanya untuk ukuran hp non gaming",negatif
cair nih 1200 perak,negatif
pembohong publik,negatif
bukannya tambah minat pembeli pengen pilih oppo malah buat jadi males pilih oppo,negatif
"gak seru kebanyakan di sensor, takut ya ? ya lagian ini cmo nya kocak hehe. argumen nya kurang bagus. kalo mau react yang agak bener dong jawab nya. lagian dari brand lain yang lebih gede dari oppo gak kek gini gini amat. jangan lupa bobo siang cmo. itu capee kayaknya jadi ngacoo pikiran nya. yok semangaat babang cmo. kuasai lagi product knowledge nya aja.",negatif
performa oppo ga perlu diragukan lagi. kalo ada kekurang di keluaran sebelumnya tp kedepannya pasti ada evaluasi yang bikin performa oppo lebih baik,negatif
ada buzzerp nih,negatif
performa oppo ga perlu diragukan lagi. kalo ada kekurang di keluaran sebelumnya tp kedepannya pasti ada evaluasi yang bikin performa oppo lebih baik,negatif
lmao,negatif
ternyata ini alesan kenapa dalam iklan oppo tidak pernah menyebutkan chipset.,negatif
take down aja min video nya jelas blunder ini mah  netizen skrng udah pada pinter,negatif
aku suka baca comment kalian semua cukup menghibur &amp; semua ada dipikiranku,negatif
kok sy  malu y. harusnya bisa nerima kritikkan bukan membela diri. coba cmo nya di ganti sj. terlalu bertele-tele,negatif
ini marketing penjualan berkedok react  mereka lagi reklame ini,negatif
di kasih masukan ga terima toh merek lain pun diem diem aja,negatif
"kenapa gak pakai hp flip di samping daripada baca pakai macbook. lu kan mau iklanin produk lu, masak pakai produk merk lain.",negatif
saya setiap kali beli hp oppo selalu aja kecewa soal price to performance. dan saya tidak akan menggunakan produk ini lagi. hp oppo harga 2 jutaan masih aja ngelag.,negatif
pasar lo tuh cuma boomer,negatif
"sejauh ini pke oppo enak-enak aja sih, apalagi kameranya jernih bangetttt",negatif
"positive thinking aja, mungkin orang yang di video ini adalah wujud aslinya tyvan lam (iykwim).",negatif
oppo udah kayak ahm. di kritik bukannya berbenah malah membantah.,negatif
"oppo.. if this whole sorry excuse of a blunder video is a marketing gimmick to gain traction, i applaud you. however if this is to market your product, your cmo and the whole marketing team that approved the video should resign in honor. there is no sane person in this world who would take your product as the superior compared to your competitors (unless it&#39;s your employees and their livelihoods of course).",negatif
oppo brand sampah,negatif
"jujur saya suka banget ini hp dan sudah pakai 6bulan, performa mantep, update nya terjamin 5thn dan di update terbaru udah support ai sepadan lah dengan harganya terimakasih planet galaxy",negatif
"kang, oppo gak punya produk laptop ya? bikin gih biar gak make mac.. ",negatif
"banyak banget nyinggung performa, kenyataannya harga 9 juta performa mid",negatif
harusnya berbenah,negatif
bentar lagi juga di pecat ini orang.,negatif
logo applenya kok ilang,negatif
blunder ini mah,negatif
oppo goblok,negatif
mendung apus ngab ngab,negatif
cmo terdungu btw keren laptop lu ngab,negatif
"performance? with md7300? dude you can get md8300, sd8 gen2 and bionic a15 phones with cheaper price not to mention ip68, better screen and better build quality dude just admit it oppo has been inferior compared to other brands far behind also cheap? foff",negatif
apple mackbook?,negatif
the apple logo on his macbook went missing! hahahaha,negatif
klo gua jadi bos oppo bakal gua pecat nih orang. buat video malah kocak,negatif
pejabat sama produk sama badutnya,negatif
"<a href="" percuma bro ditutupin lagi logo applenya udah gw download yang sebelum diedit ",negatif
"oppo punya kualitas super, jadi ya wajar aja harganya segitu. termasuk awet dan tahan banting nih hp",negatif
sangat tidak tertarik setelah melihat video ini,negatif
"oppo punya kualitas super, jadi ya wajar aja harganya segitu. termasuk awet dan tahan banting nih hp",negatif
kualitas super tp chipset entry masih helio g85 buat apaa,negatif
di bayar ni orng wkwkwkwk,negatif
lu beli hp emang cuman mau di banting doang,negatif
"kayaknya beli oppo ini bgusnya beli seken , bener dah .  klo baru kyk over prize,  awet iya. makanya beli sekenan ",negatif
blunder sih ini,negatif
ga mau di kritik di brand,negatif
macbook ngga sih wkwk,negatif
"bawa laptop, bahasa dicampur inggris dikit biar keliatan berpendidikan tinggi , ngomong muter&quot; + blunder , awikwok banget",negatif
kenapa bahasanya campur sari gini ya,negatif
bahasa kentut,negatif
"denial, denial, muka tebal.",negatif
lol  org dalem review  ya jelas bagus&quot;in produknya. sama org netral  review produk wkwwkwk kocak. gw yakin makin buruk jdinya. dpikir mau promot kali yaa bikin konten gtu   sama kek pedagang buah biasa bilang manis. terus dksih sama  udh kupas maniz pas beli pulang taunya pahit,negatif
waduh bot.,negatif
saya lebih percaya david,negatif
rip,negatif
"cina cina, kalo lu cina minimal gak blunder",negatif
"curiga ini cmo kagak ngerti spek hape, cv lamarannya kek apa ini",negatif
orang dalam,negatif
by one sama david gadgetin sini tanpa orang dalam !!!!  100% kalah total tuh patrick owen,negatif
blunder wkwk,negatif
paling bentar lagi dipecat ini orang,negatif
spek mantap harga murah cocok buat kalangan  cuma sanggup beli hp entry level  terimakasih infinix,negatif
lawaaakkkkk  save ni video buat bandingin parodi dari brand lain  akan datang wkakakak,negatif
"goblok, bisa2nya ngatain exynos 2200 padahal chipset  kalian pake dimensity 7300.",negatif
asli blunder sih ini,negatif
mampir cuma buat dislike aja,negatif
lah logo applenya ilang,negatif
masih ada  bocor wkwk,negatif
sempet ada kelihatan wkwkwk,negatif
wkwkwkwkw,negatif
pdhal oppo bagus saya beberapa kali pake tapi liat ini agak aneh hahaha,negatif
exynos kan cumen bisa disamsung,negatif
ah ngga jelas,negatif
bjir smpe nyewa buzzer buat nutupin hate komen,negatif
"itu mah karyawan mereka, gk mungkin nyewa buzzer",negatif
salam interaksi bunda,negatif
​@@aethersx2benarr,negatif
turu,negatif
tapi dari segi performance exynos 2200 masih lebih unggul koh,negatif
david membahas mesin geter lalu oppo menjawab dengan jawaban kehebatan layar  sangat nyambung,negatif
sangat membagongkan kalo kata iq7,negatif
aneh emang si patrick star ini,negatif
mumpung ini top komen. najis bgt channel ini pake buzzer (liat komen terbarunya isinya buzzer semua) makin keliatan tuh blundernya awokawok,negatif
"mana buat bisa 120hz harus costum per aplikasi, dengan embel-embel smart but berkedok kebebasan mengatur refresh rate.",negatif
wwkwkwkwk stupid banget anjg. ketika lu mau membela tapi gak ngerti sama produksi sendiri udh gitu nyewa bot lagi,negatif
we know better than the brand it self,negatif
channel youtube nya oppo indonesia tapi ada logo apple nya,negatif
gimana caranya bikin konten selucu ini  tolong dipertimbangkan untuk bikin konten komedi aja kedepannya,negatif
hp 2024 bawa2 exynos 2200  release 2022. knapa ga bawa exynos 2400? kalah kah chipsetnya?,negatif
"versus sama exynos 2200 aja gak sebanding bro, apalagi exynos 2400 jauh lebih unggul exynos.",negatif
saya rasa dia juga gak pake produk oppo krna dia sepertinya kurang menguasai produk  di bela nya maknya terkesan asal jawab aja,negatif
"satu²nya  perlu diapresiasi dr video ini adalah, oppo masih buka kolom komentar ",negatif
iya betul,negatif
huahahahaa,negatif
"ayo kita hujat semua, btw ini kah yang pakai macbook apple kah?",negatif
"@@aethersx2 pasti pke macbook dia , kt org² di menit <a href="" keliatan logonya, tp kykny udh disensor",negatif
"@@yoaimoo365 iya lah jelas, oppo kan gk bisa bikin laptop",negatif
"just simple thing, you&#39;re stupid.",negatif
i think u need change this guy to another guy. he talk like tr*sh,negatif
"siap siap bang patrick, siapin berkas berkas dan update cv ",negatif
sekelas cmo pola pikir nya ga panjang kedepan...,negatif
"banyak alesan ga jelas, begini lah oppo, gapernah pake brand nya karna punya spesifikasi pelit, ga sebanding sama harga jual dan kompetitor nya jauh lebih worthit, bahkan saya mengharamkan orang terdekat saya kalo nanya rekomendasi hp, saya mengharamkan beli oppo",negatif
aww what the f*ck.. look at that stup1dity,negatif
laptopnya pake produk apaan tuh?,negatif
apel kroak,negatif
who tf came up with this idea ????,negatif
lah wkwkw itu laptop merk apa wkwkwkwk,negatif
erdman lane,negatif
coba itu laptopnya minimal pake produk sendiri lah brow yakali pake mac apple,negatif
"dari dulu emang ga suka produk oppo, liat punya temen-temen waktu itu reno 8, kok kameranya segini aja, udah kaya kamera beautyplus.",negatif
hidup koko david,negatif
lu tau 9 jt pakai dimensity 7300 itu ampas banget,negatif
isi kontennya full inkonsisten dan komtradiksi. tiap-tiap pointnya bertolak belakang.  blunder terbesar untuk brand besar sekelas oppo.,negatif
good bye oppo,negatif
"cmo oppo gak percaya sama brand sendiri, buktinya dia pake apple  kalau cuman react ya pake oppo pad kan bisa ",negatif
emang oppo pad sesampah itu ya? kok cmo sampe jijik pake oppo pad?,negatif
"mantep udah oppo bisa dapet petinggi spek pejabat indonesia. alias anti kritik, udah siap siap brand ancur dah. perusahaan lain petingginya pada diem diem aja. paling kalau nyengol itu pakai iklan itupun  disenggol merek lain bukan reviewernya.",negatif
"pffttt, blunder dengan keegoisannya sendiri",negatif
"ngomong apasih, ga konsisten banget",negatif
wawancara masuk univ aja udah dicap redflag kitanya kalo pake kata² &quot;dibandingkan...&quot; atau &quot;tidak seperti...&quot;,negatif
"dia pikir dengan berbicara bahasa indo yang dicampur bahasa inggris, bisa kelihatan kek orang pinter.",negatif
putu reza emang orang bali?,negatif
"akwokwok kocak amat, dikritik malah nyenggol brand lain, mana dislike udh 2k dihide pula",negatif
bye bye oppo,negatif
sayang gtid ngak review hp. bisa2 diroasting tanpa filter tuh oppo,negatif
tangannya udah full roasting badut,negatif
auto jadi sodara xiomi stor indo,negatif
"komen aja bang disana, buar du bahas di gtn",negatif
oppo voc indonesia,negatif
"komen aja di gtid, nanti bakal dibahas di berita harian gtn",negatif
brand badut cuma membanding2kan mulu dengan brand lain,negatif
you claim yourself as cmo?  seriously?!!!!,negatif
oppo collab dengan macbook?,negatif
ini toh yang lagi rame di grup fb,negatif
el blunder,negatif
"videonya di dislike sampai 2.1 rb haha,kalau mau klarifikasi gak usah bawa2 brand lain kaya apa aja.",negatif
serius ini hp dibandingin exynos 2200  dirilis lebih dari 2 tahun lalu? cuma jokes kan?,negatif
blunder fatal,negatif
asli blunder parah ini,negatif
kok jadi bandingin brand lain dianggap kurang? padahal harus nya kalau mau denfense/atack tu harusnya unggulin dong kelebihan brand sediri. . fokus ke kelebihan oppo . jangan jatuhin ke brand sebelah .,negatif
oh ini yak yang rame  gak pernah lagi pake oppo sejak terakhir reno 8 pro  setelahnya oppo makin gak tau diri,negatif
chipset 2 tahun lalu dibandingin sama yang 4 bulan lalu bjir,negatif
"wkwkwk kolom komentar ada buzzerp komen serentak, mana cuma itungan jari  mau crowd control aja ga bisa sewa yang banyak",negatif
"haduh ....... kok gini cara menanggapi kritik,  tunggu aja reaksi konsumen",negatif
"bukan rahasia umum.  hp oppo hanya untuk para orang2 gaptek  terhipnotis dengan gaya mulut manis sales ny.yeah i dont care about this shit video, yang terpenting. hp gue infinix, sat.  sekian.",negatif
wkwkwk doang sih... banyak blundernya,negatif
kali aja @oppoindonesia membutuhkan cmo/pmo baru saya siap menggantikan saya berpengalaman marketing 5th dan supervisor marketing 2th dibidang chemical..,negatif
wkwkwk kocak kocak,negatif
"waduh gw kira ini konten brand kecil, ga taunya sekaliber oppo bikin konten gni, blunder besar ini mah, donwload dlu ah videonya buat jaga2",negatif
saya yang nonton saya yang malu,negatif
yaleah buang² waktu + buang² kuota nonton video gak jelas begini .. apa² di sensor macbook aja di sensor ... laptop² lain apa bakal di sensor juga ?,negatif
"damn oppo, damagenya gede ya ",negatif
"david bilang performa gk bagus2 amat utk gaming, dia balas walaupun performa gk sebagus hp gaming lainnya, tpi oppo ini punya ai.  putu komen ttg ai, dia bilang ai kami belum sempurna trus, apa alasan utk beli hp ini?",negatif
bilang aja kalo produknya banyak yang ga laku,negatif
"untung tech reviewer pada baik, ga di counter balik videonya. gmn jadinya kalo mereke react balik video ini, bisa2 dampak buruk nya makin gede buat oppo khususnya indonesia ",negatif
tunggu begotek,negatif
hahaha jadi ngk sabar.,negatif
gtid harus tahu biar oppo dikntl-kntlin sekalian.,negatif
"bayangkan  review gtid keknya langsung kaget ,untungnya tidak adaaa ",negatif
"yahaha bayar buzzer buat komen positif ,betapa ampasnya brand oppo :v",negatif
"aku selalu pake oppo buat streaming film, fitur 5g nya lancar banget. audio yang kenceng dan grafiknya sangat memanjakan pengguna nya",negatif
buat yang suka nyimpen foto banyak dan file-file cocok banget sih pake oppo. karna penyimpanannya super gede,negatif
"please lah bahasanya g usah campur2, kalo lebih nyaman bahasa inggris ya 1 aja jgn dicampur bhs indo, logatnya aneh jg lagian ngomong indo",negatif
buzzer pada serentak komen   banyak rentetan komentar positif yang baru muncul secara tiba-tiba dengan selisih waktu yang singkat.,negatif
wkwkwk hina sekali emng oppo ini!!!,negatif
pemuja opo iki,negatif
sales ya bang,negatif
"bukaan buzzer itu, mereka kaaryawan oppo gk mungkin beli buzzer, gw berani bilang gini karena pernah kerja dan di paksa buat komentar positif pada produk yang di jual",negatif
target oppo adalah kaum emak2 yang mudah di beri janji manis dan harapan palsu,negatif
"harga terjangkau, performa luar biasa apa lagi kalo bukan oppo. inovasinya ga pernah gagal selalu bikin terkesan",negatif
inovasi nya apa tuh kak 9 juta dpt chip kelas mid sama bisa buat nge paluin buah dll?,negatif
apasih bazzer...,negatif
menjatuhkan produk nya sendiri dengan gaya,negatif
udah gitu  jatuhin cmo nya sendiri lagi,negatif
gua setuju nokia keluarkan seri anti bantingannya,negatif
cuma di oppo  berani sangkal apa kata riviewer sekelas david dan teman2nya kwkwkwkw,negatif
di sensor2 tu kenapa? wong memang udh hal umum apple lebih bagus dari oppo. airpod mu loh koh nyantol di kuping juga,negatif
"kwkwkwk logo apple  di menit <a href="" udah di sensor ya kwkwkwk oppo oppo, punya cmo sperti ini,kasian sales2 bawha  kerja mati2an untuk promo di hancur kan ama petinggi rasa bocah ginian kwkwkwk",negatif
ngakak cik,negatif
"update softwarenya rutin banget oppo, jadi selalu up-to-date dan perfoma naik terus, top deh",negatif
yaqueeen??? se up to date apa sih update os sampe 7 tahun  apa cuma security patch aja,negatif
sekelas oppo ya ada konten kayak gini ? wakakakakka,negatif
minimal pake oppo pad pak,negatif
"spek dewa nih oppo, aku selalu pake buat main game ga pernah lag sama sekali",negatif
"oppo baterainya awet banget loh, bisa seharian dipake buat apapun",negatif
"dari sma dah make hp oppo ampe skrng, dlu klu msih sklh tuh klu mau dokumentasi temen&quot; sllu minjam hp aku, kata mereka kameranya bgss",negatif
oke si buzzerp,negatif
&quot;dah bertahun&quot;&quot; make hp oppo bagus&quot;&quot; aja tuh..&quot;,negatif
"dlm rumah sekeluarga make hpnya oppo, kecuali kakaku sih",negatif
"aku 2 tahun yang lalu beli hp oppo a19 ampe skrng msih awet msih bagus buat main game, kameranya jg msih bgs bgt.. pokknya setia dah ama oppo",negatif
incoming parody ga sih,negatif
loh lohhh,negatif
gorengan hangat nih,negatif
"gas, bongkar sampe ke tulang-tulangnya! ",negatif
gas bongkar hapticnya remukin,negatif
roasting ga tian bang bongkar semua nya wkwkkw,negatif
"markibo, mari kita bongkar",negatif
anti kritik lu kaya pemerintah konoha,negatif
halah perusahaan gede gamau nerima kritikan. orang pintar gaada  ngebantah kritikan konsumen. wkwk dongo sekali kau bang,negatif
"saya pribadi suka bgt sma hp oppo &quot;hp oppo tuh bener&quot;&quot; awet banget, jatuh aja tuh ga mudah retak.. pokknya bagus deh&quot;",negatif
kualitas audionya super jernih oppo tuh. cocok banget buat penggemar musik kayak aku,negatif
&quot;hp oppo skrg tuh desainnya bgus&quot;&quot; warnanya juga cantik.. &quot;,negatif
suka banget sama oppo tuh desain yang stylish dan modern update banget. fitur2 yang high quality bangett deh,negatif
"&quot;hp oppo tuh emg bagus bgs, apalagi kuat dan tahan lama bener&quot;&quot; bisa di pake ampe bertahun&quot;&quot;.. &quot;",negatif
"sumpah ya baru berapa detik liat vid nya males banget, indo-mix english nya itu loh. perasaan dia ngomong indo lencar banget, tp knp pake di mix jadinya annoying",negatif
"biar keliatan mind blowing, pdhl berakk ",negatif
anak jaksel yah bro,negatif
"ya kan emang gitu tujuannya, membingungkan calon konsumen ",negatif
"biar di kira intelek, padahal isinya pembelaan diri kombinasi blunder parah. ancur lah kau oppo ",negatif
ga je emang,negatif
"ternyata begini peningkatan performa oppo akhirnya dijelasin sendiri sama pakarnya, makin gak bisa berpaling dari oppo",negatif
15k views likenya cuma seiprit,negatif
"buat content creator kayak aku, oppo reno ini pilihan yang tepat banget. dari segi kamera, untuk videonya stabil. gak perlu takut hp panas kalo dipake ngevideo lama",negatif
pffffffffffffffffffft,negatif
promotornya mendadak jadi buzzer gratis,negatif
"sudah pake oppo beberapa kali, dan jangka waktu pemakaian bertahun-tahun. ini udah jelas banget kalo performa oppo memang bagus, gak kaleng kaleng",negatif
frustasi pemasaran jeblok?,negatif
"untuk main game gak patah-patah, untuk sinematik juga kameranya stabil mantep oppo",negatif
"spek body oppo reno cakep, slim gitu, jadi gak perlu bawa hp besar-besar. apalagi kameranya, beuh mantep deh",negatif
bajer badut,negatif
"selama ini suka pake oppo itu karna kamera utamanya  cakep banget, hasil jepretannya itu jernih, pokoknya gk kalah menarik lah dari android lainnya  katanya kameranya bagus",negatif
"gue pake oppo f11 dari lama, awet banget dan gak pernah ada masalah. kalo soal durability, oppo emang juara",negatif
"baru upgrade ke oppo reno 6, rasanya puas banget sih. kameranya jernih, baterai tahan lama, gak pernah kecewa pake oppo",negatif
"yang paling aku suka dari reno kameranya gak tipe boba besar seperti kebanyakan hp sekarang, jadi tetap elegan kalo dipake. hasil kameranya juga bagus banget, jernih",negatif
"oppo cocok banget untuk main game, gak gampang panas, pemakaian jangka panjang aman banget",negatif
pembohong publik ygy,negatif
chipset kentank mana cocok buat main game,negatif
promotornya mendadak jadi buzzer gratisan,negatif
"pake oppo mah aman deh buat nge-game atau buka banyak aplikasi, lancar banget malah",negatif
idiot man of the year,negatif
angkat penggorengan karena aku sangat lapar pesan 1 hp dengan harga over price,negatif
mamaku pake hp oppo dri zaman masuk sma pas sekarang udh kuliah sems 3 masih aweet,negatif
"selalu suka sama spek kamera oppo, gak pernah mengecewakan",negatif
"denger ngomongnya gak jelas anjir. kalo mau  enggres,seklian enggres full. kalo indo,sekalian info.jgn campur2 gini,sakit telinga gua,,,",negatif
"pengguna setia oppo hadir️️ apalagi oppo reno ini, kameranya ga norak yang model besar gitu",negatif
hp oppo tuh selalu stylish dan modern jadi  kelihatan elegan klo dipake,negatif
jgnkan dipake dibanting aja stylish bgt loh kakk,negatif
buzzer k0nt0llll,negatif
"saya pakai oppo udah bertahun tahun tapi masih bagus sampe sekarang jarang banget dpt kendala hp  parah, oppo emg sebagus itu guyss",negatif
semiskin itu ya sampe harus jdi buzzer,negatif
"baterai hp oppoku tahan lama banget, jadi nggak perlu panik nyari colokan terus-terusan",negatif
"ril bg, buzzerp pada kepanasan ​@@idrs927",negatif
dislike 1800an like  150an  blunder parah oppo,negatif
offside,negatif
the real gaptek,negatif
not recommended,negatif
nama kompetitornya ngapain di sensor segala sih.langsung aj sebut biar seru,negatif
tapi disebutinnya processor yang dipake,negatif
damn,negatif
"sadar diri aja sih oppo, nyari2 alesan, udah jelas kalah dari segi mana pun dari kompetitor.",negatif
